Signal Legend:

Key        Signal Name

0        = sine1kHz:ton_generation_dummy_0|coe_AUD1_BCLK
1        = sine1kHz:ton_generation_dummy_0|coe_AUD2_DACDAT
2        = sine1kHz:ton_generation_dummy_0|coe_AUD3_DACLRCK
3        = sine1kHz:ton_generation_dummy_0|reset_n
4        = sine1kHz:ton_generation_dummy_0|audio_reg[23..0]
5        = sine1kHz:ton_generation_dummy_0|BCLK_reg[1..0]
6        = sine1kHz:ton_generation_dummy_0|count_reg[5..0]
7        = sine1kHz:ton_generation_dummy_0|DACLRCK_reg[1..0]

Data Table:

Signals-> 0 1 2 3 4       5  6   7  

sample

-740      1 0 1 1 000000h 2h 12h 3h 
-739      0 0 1 1 000000h 1h 12h 3h 
-738      1 0 1 1 000000h 2h 12h 3h 
-737      0 0 1 1 000000h 1h 12h 3h 
-736      1 0 1 1 000000h 2h 12h 3h 
-735      0 0 1 1 000000h 1h 12h 3h 
-734      1 0 1 1 000000h 2h 12h 3h 
-733      0 0 1 1 000000h 1h 12h 3h 
-732      1 0 1 1 000000h 2h 12h 3h 
-731      0 0 1 1 000000h 1h 12h 3h 
-730      1 0 1 1 000000h 2h 12h 3h 
-729      0 0 1 1 000000h 1h 12h 3h 
-728      1 0 1 1 000000h 2h 12h 3h 
-727      0 0 1 1 000000h 1h 12h 3h 
-726      1 0 1 1 000000h 2h 12h 3h 
-725      0 0 1 1 000000h 1h 12h 3h 
-724      1 0 1 1 000000h 2h 12h 3h 
-723      0 0 1 1 000000h 1h 12h 3h 
-722      1 0 1 1 000000h 2h 12h 3h 
-721      0 0 1 1 000000h 1h 12h 3h 
-720      1 0 1 1 000000h 2h 12h 3h 
-719      0 0 1 1 000000h 1h 12h 3h 
-718      1 0 1 1 000000h 2h 12h 3h 
-717      0 0 1 1 000000h 1h 12h 3h 
-716      1 0 1 1 000000h 2h 12h 3h 
-715      0 0 1 1 000000h 1h 12h 3h 
-714      1 0 1 1 000000h 2h 12h 3h 
-713      0 0 1 1 000000h 1h 12h 3h 
-712      1 0 1 1 000000h 2h 12h 3h 
-711      0 0 1 1 000000h 1h 12h 3h 
-710      1 0 1 1 000000h 2h 12h 3h 
-709      0 0 1 1 000000h 1h 12h 3h 
-708      1 0 1 1 000000h 2h 12h 3h 
-707      0 0 1 1 000000h 1h 12h 3h 
-706      1 0 1 1 000000h 2h 12h 3h 
-705      0 0 1 1 000000h 1h 12h 3h 
-704      1 0 1 1 000000h 2h 12h 3h 
-703      0 0 1 1 000000h 1h 12h 3h 
-702      1 0 1 1 000000h 2h 12h 3h 
-701      0 0 1 1 000000h 1h 12h 3h 
-700      1 0 1 1 000000h 2h 12h 3h 
-699      0 0 1 1 000000h 1h 12h 3h 
-698      1 0 1 1 000000h 2h 12h 3h 
-697      0 0 1 1 000000h 1h 12h 3h 
-696      1 0 1 1 000000h 2h 12h 3h 
-695      0 0 1 1 000000h 1h 12h 3h 
-694      1 0 1 1 000000h 2h 12h 3h 
-693      0 0 1 1 000000h 1h 12h 3h 
-692      1 0 1 1 000000h 2h 12h 3h 
-691      0 0 1 1 000000h 1h 12h 3h 
-690      1 0 1 1 000000h 2h 12h 3h 
-689      0 0 1 1 000000h 1h 12h 3h 
-688      1 0 1 1 000000h 2h 12h 3h 
-687      0 0 1 1 000000h 1h 12h 3h 
-686      1 0 1 1 000000h 2h 12h 3h 
-685      0 0 1 1 000000h 1h 12h 3h 
-684      1 0 1 1 000000h 2h 12h 3h 
-683      0 0 1 1 000000h 1h 12h 3h 
-682      1 0 1 1 000000h 2h 12h 3h 
-681      0 0 1 1 000000h 1h 12h 3h 
-680      1 0 1 1 000000h 2h 12h 3h 
-679      0 0 1 1 000000h 1h 12h 3h 
-678      1 0 1 1 000000h 2h 12h 3h 
-677      0 0 1 1 000000h 1h 12h 3h 
-676      1 0 1 1 000000h 2h 12h 3h 
-675      0 0 1 1 000000h 1h 12h 3h 
-674      1 0 1 1 000000h 2h 12h 3h 
-673      0 0 1 1 000000h 1h 12h 3h 
-672      1 0 1 1 000000h 2h 12h 3h 
-671      0 0 1 1 000000h 1h 12h 3h 
-670      1 0 1 1 000000h 2h 12h 3h 
-669      0 0 1 1 000000h 1h 12h 3h 
-668      1 0 1 1 000000h 2h 12h 3h 
-667      0 0 1 1 000000h 1h 12h 3h 
-666      1 0 1 1 000000h 2h 12h 3h 
-665      0 0 1 1 000000h 1h 12h 3h 
-664      1 0 1 1 000000h 2h 12h 3h 
-663      0 0 1 1 000000h 1h 12h 3h 
-662      1 0 1 1 000000h 2h 12h 3h 
-661      0 0 1 1 000000h 1h 12h 3h 
-660      1 0 1 1 000000h 2h 12h 3h 
-659      0 0 1 1 000000h 1h 12h 3h 
-658      1 0 1 1 000000h 2h 12h 3h 
-657      0 0 1 1 000000h 1h 12h 3h 
-656      1 0 1 1 000000h 2h 12h 3h 
-655      0 0 1 1 000000h 1h 12h 3h 
-654      1 0 1 1 000000h 2h 12h 3h 
-653      0 0 1 1 000000h 1h 12h 3h 
-652      1 0 1 1 000000h 2h 12h 3h 
-651      0 0 1 1 000000h 1h 12h 3h 
-650      1 0 1 1 000000h 2h 12h 3h 
-649      0 0 1 1 000000h 1h 12h 3h 
-648      1 0 1 1 000000h 2h 12h 3h 
-647      0 0 1 1 000000h 1h 12h 3h 
-646      1 0 1 1 000000h 2h 12h 3h 
-645      0 0 1 1 000000h 1h 12h 3h 
-644      1 0 1 1 000000h 2h 12h 3h 
-643      0 0 1 1 000000h 1h 12h 3h 
-642      1 0 1 1 000000h 2h 12h 3h 
-641      0 0 1 1 000000h 1h 12h 3h 
-640      1 0 1 1 000000h 2h 12h 3h 
-639      0 0 1 1 000000h 1h 12h 3h 
-638      1 0 1 1 000000h 2h 12h 3h 
-637      0 0 0 1 000000h 1h 12h 3h 
-636      1 0 0 1 000000h 2h 12h 2h 
-635      0 0 0 1 000000h 1h 12h 0h 
-634      1 0 0 1 000000h 2h 12h 0h 
-633      0 0 0 1 000000h 1h 12h 0h 
-632      1 0 0 1 000000h 2h 12h 0h 
-631      0 0 0 1 000000h 1h 12h 0h 
-630      1 0 0 1 000000h 2h 12h 0h 
-629      0 0 0 1 000000h 1h 12h 0h 
-628      1 0 0 1 000000h 2h 12h 0h 
-627      0 0 0 1 000000h 1h 12h 0h 
-626      1 0 0 1 000000h 2h 12h 0h 
-625      0 0 0 1 000000h 1h 12h 0h 
-624      1 0 0 1 000000h 2h 12h 0h 
-623      0 0 0 1 000000h 1h 12h 0h 
-622      1 0 0 1 000000h 2h 12h 0h 
-621      0 0 0 1 000000h 1h 12h 0h 
-620      1 0 0 1 000000h 2h 12h 0h 
-619      0 0 0 1 000000h 1h 12h 0h 
-618      1 0 0 1 000000h 2h 12h 0h 
-617      0 0 0 1 000000h 1h 12h 0h 
-616      1 0 0 1 000000h 2h 12h 0h 
-615      0 0 0 1 000000h 1h 12h 0h 
-614      1 0 0 1 000000h 2h 12h 0h 
-613      0 0 0 1 000000h 1h 12h 0h 
-612      1 0 0 1 000000h 2h 12h 0h 
-611      0 0 0 1 000000h 1h 12h 0h 
-610      1 0 0 1 000000h 2h 12h 0h 
-609      0 0 0 1 000000h 1h 12h 0h 
-608      1 0 0 1 000000h 2h 12h 0h 
-607      0 0 0 1 000000h 1h 12h 0h 
-606      1 0 0 1 000000h 2h 12h 0h 
-605      0 0 0 1 000000h 1h 12h 0h 
-604      1 0 0 1 000000h 2h 12h 0h 
-603      0 0 0 1 000000h 1h 12h 0h 
-602      1 0 0 1 000000h 2h 12h 0h 
-601      0 0 0 1 000000h 1h 12h 0h 
-600      1 0 0 1 000000h 2h 12h 0h 
-599      0 0 0 1 000000h 1h 12h 0h 
-598      1 0 0 1 000000h 2h 12h 0h 
-597      0 0 0 1 000000h 1h 12h 0h 
-596      1 0 0 1 000000h 2h 12h 0h 
-595      0 0 0 1 000000h 1h 12h 0h 
-594      1 0 0 1 000000h 2h 12h 0h 
-593      0 0 0 1 000000h 1h 12h 0h 
-592      1 0 0 1 000000h 2h 12h 0h 
-591      0 0 0 1 000000h 1h 12h 0h 
-590      1 0 0 1 000000h 2h 12h 0h 
-589      0 0 0 1 000000h 1h 12h 0h 
-588      1 0 0 1 000000h 2h 12h 0h 
-587      0 0 0 1 000000h 1h 12h 0h 
-586      1 0 0 1 000000h 2h 12h 0h 
-585      0 0 0 1 000000h 1h 12h 0h 
-584      1 0 0 1 000000h 2h 12h 0h 
-583      0 0 0 1 000000h 1h 12h 0h 
-582      1 0 0 1 000000h 2h 12h 0h 
-581      0 0 0 1 000000h 1h 12h 0h 
-580      1 0 0 1 000000h 2h 12h 0h 
-579      0 0 0 1 000000h 1h 12h 0h 
-578      1 0 0 1 000000h 2h 12h 0h 
-577      0 0 0 1 000000h 1h 12h 0h 
-576      1 0 0 1 000000h 2h 12h 0h 
-575      0 0 0 1 000000h 1h 12h 0h 
-574      1 0 0 1 000000h 2h 12h 0h 
-573      0 0 0 1 000000h 1h 12h 0h 
-572      1 0 0 1 000000h 2h 12h 0h 
-571      0 0 0 1 000000h 1h 12h 0h 
-570      1 0 0 1 000000h 2h 12h 0h 
-569      0 0 0 1 000000h 1h 12h 0h 
-568      1 0 0 1 000000h 2h 12h 0h 
-567      0 0 0 1 000000h 1h 12h 0h 
-566      1 0 0 1 000000h 2h 12h 0h 
-565      0 0 0 1 000000h 1h 12h 0h 
-564      1 0 0 1 000000h 2h 12h 0h 
-563      0 0 0 1 000000h 1h 12h 0h 
-562      1 0 0 1 000000h 2h 12h 0h 
-561      0 0 0 1 000000h 1h 12h 0h 
-560      1 0 0 1 000000h 2h 12h 0h 
-559      0 0 0 1 000000h 1h 12h 0h 
-558      1 0 0 1 000000h 2h 12h 0h 
-557      0 0 0 1 000000h 1h 12h 0h 
-556      1 0 0 1 000000h 2h 12h 0h 
-555      0 0 0 1 000000h 1h 12h 0h 
-554      1 0 0 1 000000h 2h 12h 0h 
-553      0 0 0 1 000000h 1h 12h 0h 
-552      1 0 0 1 000000h 2h 12h 0h 
-551      0 0 0 1 000000h 1h 12h 0h 
-550      1 0 0 1 000000h 2h 12h 0h 
-549      0 0 0 1 000000h 1h 12h 0h 
-548      1 0 0 1 000000h 2h 12h 0h 
-547      0 0 0 1 000000h 1h 12h 0h 
-546      1 0 0 1 000000h 2h 12h 0h 
-545      0 0 0 1 000000h 1h 12h 0h 
-544      1 0 0 1 000000h 2h 12h 0h 
-543      0 0 0 1 000000h 1h 12h 0h 
-542      1 0 0 1 000000h 2h 12h 0h 
-541      0 0 0 1 000000h 1h 12h 0h 
-540      1 0 0 1 000000h 2h 12h 0h 
-539      0 0 0 1 000000h 1h 12h 0h 
-538      1 0 0 1 000000h 2h 12h 0h 
-537      0 0 0 1 000000h 1h 12h 0h 
-536      1 0 0 1 000000h 2h 12h 0h 
-535      0 0 0 1 000000h 1h 12h 0h 
-534      1 0 0 1 000000h 2h 12h 0h 
-533      0 0 0 1 000000h 1h 12h 0h 
-532      1 0 0 1 000000h 2h 12h 0h 
-531      0 0 0 1 000000h 1h 12h 0h 
-530      1 0 0 1 000000h 2h 12h 0h 
-529      0 0 0 1 000000h 1h 12h 0h 
-528      1 0 0 1 000000h 2h 12h 0h 
-527      0 0 0 1 000000h 1h 12h 0h 
-526      1 0 0 1 000000h 2h 12h 0h 
-525      0 0 0 1 000000h 1h 12h 0h 
-524      1 0 0 1 000000h 2h 12h 0h 
-523      0 0 0 1 000000h 1h 12h 0h 
-522      1 0 0 1 000000h 2h 12h 0h 
-521      0 0 0 1 000000h 1h 12h 0h 
-520      1 0 0 1 000000h 2h 12h 0h 
-519      0 0 0 1 000000h 1h 12h 0h 
-518      1 0 0 1 000000h 2h 12h 0h 
